class,gt_instances,AP,AP50,AR100
Caption,1763,62.0,86.5,66.7
Footnote,312,34.3,50.1,56.5
Formula,1894,52.3,85.2,65.3
List-item,13320,59.7,76.3,72.0
Page-footer,5571,21.6,84.2,32.3
Page-header,6683,37.4,82.0,44.2
Picture,2775,67.0,73.0,78.3
Section-header,15744,47.3,91.0,56.1
Table,2269,68.8,73.0,72.2
Text,49186,69.8,83.3,73.8
Title,299,4.7,14.3,10.4
