class,gt_instances,AP,AP50,AR100
Caption,1763,58.1,80.5,61.7
Footnote,312,33.2,47.9,52.2
Formula,1894,49.8,81.0,61.0
List-item,13320,56.8,72.0,67.5
Page-footer,5571,21.2,82.7,31.2
Page-header,6683,35.3,76.1,41.3
Picture,2775,65.0,71.0,74.2
Section-header,15744,45.8,87.6,54.0
Table,2269,65.9,69.7,68.6
Text,49186,66.6,78.0,69.3
Title,299,2.1,8.1,3.2
